feedback_id,timestamp,username,review,sentiment,emotion,rating,course
124,10-22-2023 10:00,user_465,Didn't expect OOP to be this intuitive!,negative,surprise,1,Introduction to Python
125,12-1-2023 10:00,user_428,The exception handling section was a letdown.,negative,disappointment,1,Introduction to Python
126,3-9-2024 10:00,user_476,Rage-quit the file handling assignment. Too vague!,negative,anger,2,Introduction to Python
127,2-26-2024 12:00,user_263,Why is exception handling explained so poorly?,negative,confusion,1,Introduction to Python
128,3-27-2024 14:00,user_329,The Pandas project helped me land an internship!,positive,satisfaction,4,Introduction to Python
129,2-29-2024 11:00,user_135,Why is list comprehensions explained so poorly?,negative,confusion,1,Introduction to Python
130,2-9-2024 11:00,user_345,"The OOP part was okay, but could be better.",neutral,neutral,3,Introduction to Python
131,2-11-2024 14:00,user_346,Why is exception handling so confusing here?,negative,frustration,1,Introduction to Python
132,10-25-2023 16:00,user_289,Mastered file handling thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
133,2-14-2024 12:00,user_320,Mastered list comprehensions thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
134,1-21-2024 12:00,user_360,"I finally get GUI projects, this course is a lifesaver!",positive,happiness,5,Introduction to Python
135,1-10-2024 17:00,user_415,The NumPy lectures put me to sleep.,negative,boredom,1,Introduction to Python
136,3-28-2024 11:00,user_392,"Endless slides on list comprehensions, where's the coding?",negative,boredom,1,Introduction to Python
137,2-29-2024 09:00,user_133,The Pandas video quality is terrible!,negative,anger,1,Introduction to Python
138,11-23-2023 13:00,user_323,Rage-quit the exception handling assignment. Too vague!,negative,anger,1,Introduction to Python
139,11-19-2023 14:00,user_301,"The exception handling part was okay, but could be better.",neutral,neutral,3,Introduction to Python
140,11-27-2023 16:00,user_121,Lost at Pandas. Need better examples!,negative,confusion,1,Introduction to Python
141,1-5-2024 14:00,user_118,Didn't expect Pandas to be this intuitive!,positive,surprise,4,Introduction to Python
142,3-10-2024 12:00,user_134,"The NumPy part was okay, but could be better.",neutral,neutral,3,Introduction to Python
143,12-8-2023 11:00,user_409,Lost at list comprehensions. Need better examples!,negative,confusion,2,Introduction to Python
144,10-25-2023 12:00,user_481,Expected more depth on exception handling.,negative,disappointment,1,Introduction to Python
145,2-16-2024 09:00,user_128,The GUI projects video quality is terrible!,negative,anger,2,Introduction to Python
146,1-15-2024 17:00,user_429,Why is exception handling explained so poorly?,negative,confusion,1,Introduction to Python
147,1-30-2024 13:00,user_227,Average course. The OOP section was fine.,neutral,neutral,3,Introduction to Python
148,12-20-2023 09:00,user_104,Why is OOP so confusing here?,negative,frustration,1,Introduction to Python
149,12-4-2023 09:00,user_346,The exception handling demo was unexpectedly brilliant!,negative,surprise,1,Introduction to Python
150,3-20-2024 10:00,user_177,"The file handling part was okay, but could be better.",neutral,neutral,3,Introduction to Python
151,3-15-2024 11:00,user_282,Lost at OOP. Need better examples!,negative,confusion,1,Introduction to Python
152,3-6-2024 13:00,user_456,The OOP lectures put me to sleep.,negative,boredom,1,Introduction to Python
153,12-7-2023 14:00,user_385,Rage-quit the file handling assignment. Too vague!,negative,anger,1,Introduction to Python
154,1-28-2024 13:00,user_323,The file handling lectures put me to sleep.,negative,boredom,2,Introduction to Python
155,11-12-2023 12:00,user_405,The OOP lectures put me to sleep.,negative,boredom,1,Introduction to Python
156,10-10-2023 10:00,user_420,list comprehensions clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
157,12-11-2023 17:00,user_348,The exception handling lectures put me to sleep.,negative,boredom,1,Introduction to Python
158,2-29-2024 15:00,user_328,"The GUI projects part was okay, but could be better.",neutral,neutral,3,Introduction to Python
159,3-24-2024 09:00,user_219,The instructor's exception handling examples were hilarious and easy to follow!,positive,happiness,5,Introduction to Python
160,1-19-2024 16:00,user_256,The file handling video quality is terrible!,negative,anger,1,Introduction to Python
161,12-1-2023 09:00,user_259,Never thought I'd enjoy NumPy this much!,positive,excitement,5,Introduction to Python
162,3-12-2024 10:00,user_433,"Not bad, but Pandas needs improvement.",neutral,neutral,3,Introduction to Python
163,11-26-2023 09:00,user_386,The GUI projects quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
164,2-6-2024 17:00,user_329,Lost at OOP. Need better examples!,negative,confusion,1,Introduction to Python
165,11-1-2023 14:00,user_494,Now I can build exception handling apps confidently. Worth every penny!,positive,satisfaction,4,Introduction to Python
166,11-8-2023 14:00,user_363,Didn't expect OOP to be this intuitive!,positive,surprise,5,Introduction to Python
167,10-13-2023 14:00,user_298,"The OOP part was okay, but could be better.",neutral,neutral,3,Introduction to Python
168,12-27-2023 14:00,user_429,"The exception handling part was okay, but could be better.",neutral,neutral,3,Introduction to Python
169,11-3-2023 14:00,user_368,"Not bad, but lambda functions needs improvement.",neutral,neutral,3,Introduction to Python
170,3-17-2024 09:00,user_345,Now I can build OOP apps confidently. Worth every penny!,positive,satisfaction,4,Introduction to Python
171,10-14-2023 14:00,user_154,The decorators demo was unexpectedly brilliant!,negative,surprise,1,Introduction to Python
172,3-4-2024 11:00,user_417,The file handling quiz was unfair and poorly designed.,negative,frustration,1,Introduction to Python
173,2-12-2024 10:00,user_343,Now I can build exception handling apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
174,11-29-2023 12:00,user_333,The async programming video quality is terrible!,negative,anger,2,Introduction to Python
175,3-2-2024 13:00,user_267,Didn't expect OOP to be this intuitive!,positive,surprise,5,Introduction to Python
176,12-19-2023 16:00,user_293,Promised decorators but only scratched the surface.,negative,disappointment,1,Introduction to Python
177,11-18-2023 16:00,user_143,Promised OOP but only scratched the surface.,negative,disappointment,2,Introduction to Python
178,3-15-2024 17:00,user_472,Still don't get lambda functions after 3 lectures.,negative,confusion,1,Introduction to Python
179,11-20-2023 14:00,user_464,Why was list comprehensions explained so poorly? Totally caught me off guard.,positive,surprise,5,Introduction to Python
180,11-20-2023 13:00,user_372,Never thought I'd enjoy GUI projects this much!,positive,excitement,5,Introduction to Python
181,11-26-2023 14:00,user_367,exception handling clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
182,2-19-2024 10:00,user_392,GUI projects clicked for me instantly. So rewarding!,positive,happiness,4,Introduction to Python
183,10-28-2023 12:00,user_373,Why is list comprehensions explained so poorly?,negative,confusion,1,Introduction to Python
184,3-29-2024 15:00,user_243,Expected more depth on exception handling.,negative,disappointment,1,Introduction to Python
185,2-13-2024 13:00,user_195,The file handling demo was unexpectedly brilliant!,negative,surprise,1,Introduction to Python
186,3-8-2024 13:00,user_128,The OOP video quality is terrible!,negative,anger,1,Introduction to Python
187,10-15-2023 11:00,user_190,The exception handling project helped me land an internship!,positive,satisfaction,5,Introduction to Python
188,11-10-2023 09:00,user_315,The exception handling video quality is terrible!,negative,anger,1,Introduction to Python
189,11-6-2023 17:00,user_288,lambda functions is mind-blowing! I stayed up all night coding!,positive,excitement,4,Introduction to Python
190,10-25-2023 15:00,user_366,Didn't expect file handling to be this intuitive!,positive,surprise,4,Introduction to Python
191,3-21-2024 17:00,user_287,The GUI projects project helped me land an internship!,positive,satisfaction,5,Introduction to Python
192,1-3-2024 15:00,user_363,Frustrated with decorators. Need better examples.,negative,frustration,1,Introduction to Python
193,11-20-2023 09:00,user_463,Why was exception handling explained so poorly? Totally caught me off guard.,positive,surprise,4,Introduction to Python
194,3-24-2024 13:00,user_163,The list comprehensions lectures put me to sleep.,negative,boredom,2,Introduction to Python
195,10-12-2023 17:00,user_252,Why is exception handling explained so poorly?,negative,confusion,1,Introduction to Python
196,10-23-2023 14:00,user_356,The NumPy project helped me land an internship!,positive,satisfaction,4,Introduction to Python
197,10-29-2023 10:00,user_166,"I finally get async programming, this course is a lifesaver!",positive,happiness,4,Introduction to Python
198,12-23-2023 13:00,user_480,The Pandas section was a letdown.,negative,disappointment,1,Introduction to Python
199,2-19-2024 09:00,user_105,Frustrated with file handling. Need better examples.,negative,frustration,2,Introduction to Python
200,1-20-2024 16:00,user_378,Pandas is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
201,2-4-2024 15:00,user_183,The OOP project made me fall in love with Python!,positive,excitement,5,Introduction to Python
202,3-6-2024 13:00,user_461,This exception handling section is a waste of time.,negative,anger,1,Introduction to Python
203,10-20-2023 09:00,user_391,The exception handling section was a letdown.,negative,disappointment,1,Introduction to Python
204,2-2-2024 10:00,user_121,"Endless slides on NumPy, where's the coding?",negative,boredom,2,Introduction to Python
205,12-27-2023 17:00,user_166,Expected more depth on list comprehensions.,negative,disappointment,1,Introduction to Python
206,12-12-2023 10:00,user_102,Lost at exception handling. Need better examples!,negative,confusion,2,Introduction to Python
207,2-19-2024 14:00,user_466,"Not bad, but exception handling needs improvement.",neutral,neutral,3,Introduction to Python
208,3-28-2024 11:00,user_393,The instructor's exception handling examples were hilarious and easy to follow!,positive,happiness,4,Introduction to Python
209,12-28-2023 15:00,user_214,Never thought I'd enjoy lambda functions this much!,positive,excitement,5,Introduction to Python
210,10-10-2023 13:00,user_170,Why is Pandas explained so poorly?,negative,confusion,1,Introduction to Python
211,2-11-2024 12:00,user_220,"Endless slides on NumPy, where's the coding?",negative,boredom,1,Introduction to Python
212,12-13-2023 15:00,user_374,Why is NumPy explained so poorly?,negative,confusion,2,Introduction to Python
213,10-18-2023 11:00,user_129,Average course. The GUI projects section was fine.,neutral,neutral,3,Introduction to Python
214,1-7-2024 10:00,user_339,This OOP section is a waste of time.,negative,anger,2,Introduction to Python
215,2-7-2024 17:00,user_330,Now I can build exception handling apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
216,11-15-2023 14:00,user_382,The OOP demo was unexpectedly brilliant!,positive,surprise,5,Introduction to Python
217,1-2-2024 17:00,user_379,Didn't expect Pandas to be this intuitive!,negative,surprise,1,Introduction to Python
218,2-7-2024 14:00,user_417,Average course. The NumPy section was fine.,neutral,neutral,3,Introduction to Python
219,10-27-2023 10:00,user_135,The exception handling lectures put me to sleep.,negative,boredom,2,Introduction to Python
220,12-13-2023 12:00,user_281,Why was OOP explained so poorly? Totally caught me off guard.,positive,surprise,4,Introduction to Python
221,10-20-2023 13:00,user_356,"Not bad, but lambda functions needs improvement.",neutral,neutral,3,Introduction to Python
222,2-8-2024 14:00,user_206,Why was Pandas explained so poorly? Totally caught me off guard.,negative,surprise,1,Introduction to Python
223,11-8-2023 15:00,user_142,Lost at exception handling. Need better examples!,negative,confusion,1,Introduction to Python
224,10-9-2023 14:00,user_139,file handling is mind-blowing! I stayed up all night coding!,positive,excitement,4,Introduction to Python
225,2-22-2024 13:00,user_157,Mastered async programming thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
226,2-20-2024 14:00,user_167,The exception handling project helped me land an internship!,positive,satisfaction,4,Introduction to Python
227,10-8-2023 12:00,user_344,The Pandas project helped me land an internship!,positive,satisfaction,4,Introduction to Python
228,10-2-2023 15:00,user_100,The file handling demo was unexpectedly brilliant!,positive,surprise,5,Introduction to Python
229,2-24-2024 13:00,user_245,Mastered OOP thanks to the clear exercises.,positive,satisfaction,5,Introduction to Python
230,2-12-2024 14:00,user_123,Lost at exception handling. Need better examples!,negative,confusion,1,Introduction to Python
231,11-9-2023 09:00,user_191,ZZZ... another lecture on list comprehensions.,negative,boredom,2,Introduction to Python
232,2-13-2024 14:00,user_287,Lost at exception handling. Need better examples!,negative,confusion,1,Introduction to Python
233,10-8-2023 13:00,user_412,Rage-quit the OOP assignment. Too vague!,negative,anger,2,Introduction to Python
234,11-5-2023 17:00,user_259,The OOP demo was unexpectedly brilliant!,positive,surprise,5,Introduction to Python
235,2-19-2024 12:00,user_251,The file handling video quality is terrible!,negative,anger,2,Introduction to Python
236,10-2-2023 14:00,user_439,The file handling lectures put me to sleep.,negative,boredom,2,Introduction to Python
237,1-29-2024 15:00,user_295,Why is Pandas so confusing here?,negative,frustration,2,Introduction to Python
238,11-5-2023 11:00,user_452,Still don't get exception handling after 3 lectures.,negative,confusion,2,Introduction to Python
239,10-25-2023 15:00,user_110,Didn't expect exception handling to be this intuitive!,positive,surprise,5,Introduction to Python
240,12-17-2023 13:00,user_331,GUI projects is mind-blowing! I stayed up all night coding!,positive,excitement,5,Introduction to Python
241,2-17-2024 14:00,user_344,The GUI projects project made me fall in love with Python!,positive,excitement,5,Introduction to Python
242,12-25-2023 09:00,user_394,The list comprehensions section was a letdown.,negative,disappointment,1,Introduction to Python
243,11-7-2023 17:00,user_171,Still don't get exception handling after 3 lectures.,negative,confusion,2,Introduction to Python
244,11-14-2023 12:00,user_223,Average course. The async programming section was fine.,neutral,neutral,3,Introduction to Python
245,2-24-2024 16:00,user_435,Lost at list comprehensions. Need better examples!,negative,confusion,1,Introduction to Python
246,3-22-2024 16:00,user_206,Average course. The decorators section was fine.,neutral,neutral,3,Introduction to Python
247,10-18-2023 14:00,user_363,exception handling clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
248,11-22-2023 15:00,user_351,Frustrated with exception handling. Need better examples.,negative,frustration,2,Introduction to Python
249,12-7-2023 14:00,user_117,Still don't get OOP after 3 lectures.,negative,confusion,2,Introduction to Python
250,12-23-2023 14:00,user_138,"The list comprehensions part was okay, but could be better.",neutral,neutral,3,Introduction to Python
251,3-7-2024 12:00,user_292,"The OOP part was okay, but could be better.",neutral,neutral,3,Introduction to Python
252,12-30-2023 10:00,user_149,The Pandas project made me fall in love with Python!,positive,excitement,5,Introduction to Python
253,1-24-2024 10:00,user_379,"I finally get exception handling, this course is a lifesaver!",positive,happiness,5,Introduction to Python
254,11-3-2023 16:00,user_388,The OOP quiz was unfair and poorly designed.,negative,frustration,2,Introduction to Python
255,1-26-2024 13:00,user_293,The OOP quiz was unfair and poorly designed.,negative,frustration,2,Introduction to Python
256,1-18-2024 17:00,user_243,Promised OOP but only scratched the surface.,negative,disappointment,2,Introduction to Python
257,1-8-2024 11:00,user_342,"I finally get GUI projects, this course is a lifesaver!",positive,happiness,4,Introduction to Python
258,1-10-2024 17:00,user_418,Frustrated with file handling. Need better examples.,negative,frustration,2,Introduction to Python
259,2-2-2024 17:00,user_481,The GUI projects project helped me land an internship!,positive,satisfaction,4,Introduction to Python
260,2-26-2024 14:00,user_253,"The decorators part was okay, but could be better.",neutral,neutral,3,Introduction to Python
261,1-13-2024 16:00,user_451,OOP clicked for me instantly. So rewarding!,positive,happiness,5,Introduction to Python
262,11-4-2023 16:00,user_254,Still don't get list comprehensions after 3 lectures.,negative,confusion,1,Introduction to Python
263,1-24-2024 14:00,user_373,lambda functions is mind-blowing! I stayed up all night coding!,positive,excitement,4,Introduction to Python
264,11-16-2023 15:00,user_415,Now I can build list comprehensions apps confidently. Worth every penny!,positive,satisfaction,5,Introduction to Python
